session_date,observation_cutoff,observation_date,availability_lag_days,trade_balance,exports,imports,trade_balance_to_trade,export_import_ratio,exports_change_3m,imports_change_3m,balance_change_3m,export_minus_import_growth_3m,trade_balance_to_trade_rank_120m,export_import_ratio_rank_120m,exports_change_3m_rank_120m,imports_change_3m_rank_120m,balance_change_3m_rank_120m,export_minus_import_growth_3m_rank_120m
2011-01-03,2010-11-04,2010-11-01,60,-36974,114639,167024,-0.13127034789801997,0.6863624389309321,0.05822894646961618,0.003394229209595201,6988.0,0.05483471726002098,0.975,0.975,0.8833333333333333,0.2916666666666667,0.9333333333333333,0.9666666666666667
2011-01-05,2010-11-06,2010-11-01,60,-36974,114639,167024,-0.13127034789801997,0.6863624389309321,0.05822894646961618,0.003394229209595201,6988.0,0.05483471726002098,0.975,0.975,0.8833333333333333,0.2916666666666667,0.9333333333333333,0.9666666666666667
2011-01-07,2010-11-08,2010-11-01,60,-36974,114639,167024,-0.13127034789801997,0.6863624389309321,0.05822894646961618,0.003394229209595201,6988.0,0.05483471726002098,0.975,0.975,0.8833333333333333,0.2916666666666667,0.9333333333333333,0.9666666666666667
2011-01-10,2010-11-11,2010-11-01,60,-36974,114639,167024,-0.13127034789801997,0.6863624389309321,0.05822894646961618,0.003394229209595201,6988.0,0.05483471726002098,0.975,0.975,0.8833333333333333,0.2916666666666667,0.9333333333333333,0.9666666666666667
2011-01-11,2010-11-12,2010-11-01,60,-36974,114639,167024,-0.13127034789801997,0.6863624389309321,0.05822894646961618,0.003394229209595201,6988.0,0.05483471726002098,0.975,0.975,0.8833333333333333,0.2916666666666667,0.9333333333333333,0.9666666666666667
2011-01-12,2010-11-13,2010-11-01,60,-36974,114639,167024,-0.13127034789801997,0.6863624389309321,0.05822894646961618,0.003394229209595201,6988.0,0.05483471726002098,0.975,0.975,0.8833333333333333,0.2916666666666667,0.9333333333333333,0.9666666666666667
2011-01-13,2010-11-14,2010-11-01,60,-36974,114639,167024,-0.13127034789801997,0.6863624389309321,0.05822894646961618,0.003394229209595201,6988.0,0.05483471726002098,0.975,0.975,0.8833333333333333,0.2916666666666667,0.9333333333333333,0.9666666666666667
2011-01-14,2010-11-15,2010-11-01,60,-36974,114639,167024,-0.13127034789801997,0.6863624389309321,0.05822894646961618,0.003394229209595201,6988.0,0.05483471726002098,0.975,0.975,0.8833333333333333,0.2916666666666667,0.9333333333333333,0.9666666666666667
2011-01-18,2010-11-19,2010-11-01,60,-36974,114639,167024,-0.13127034789801997,0.6863624389309321,0.05822894646961618,0.003394229209595201,6988.0,0.05483471726002098,0.975,0.975,0.8833333333333333,0.2916666666666667,0.9333333333333333,0.9666666666666667
2011-01-19,2010-11-20,2010-11-01,60,-36974,114639,167024,-0.13127034789801997,0.6863624389309321,0.05822894646961618,0.003394229209595201,6988.0,0.05483471726002098,0.975,0.975,0.8833333333333333,0.2916666666666667,0.9333333333333333,0.9666666666666667
