session_date,observation_date,skew_close,skew_change_1d,skew_change_5d,skew_5d_mean,skew_close_rank_252,skew_change_1d_rank_252,skew_change_5d_rank_252,skew_5d_mean_rank_252
2011-01-03,2010-12-31,120.74,-1.6600000000000108,,122.22333333333334,,,,
2011-01-05,2011-01-04,121.96,1.2199999999999989,,122.1575,,,,
2011-01-07,2011-01-06,121.01,-0.9499999999999886,,121.928,,,,
2011-01-10,2011-01-07,121.22,0.20999999999999375,-2.3100000000000023,121.46600000000001,,,,
2011-01-11,2011-01-10,121.47,0.25,-0.9300000000000068,121.28,,,,
2011-01-12,2011-01-11,122.29,0.8200000000000074,1.5500000000000114,121.59,,,,
2011-01-13,2011-01-12,121.94,-0.3500000000000085,-0.01999999999999602,121.58600000000001,,,,
2011-01-14,2011-01-13,121.29,-0.6499999999999915,0.28000000000000114,121.64200000000001,,,,
2011-01-18,2011-01-14,123.52,2.2299999999999898,2.299999999999997,122.102,,,,
2011-01-19,2011-01-18,128.16,4.640000000000001,6.689999999999998,123.44000000000001,,,,
2011-01-20,2011-01-19,123.41,-4.75,1.1199999999999903,123.66399999999999,,,,
2011-01-21,2011-01-20,126.19,2.780000000000001,4.25,124.51399999999998,,,,
2011-01-24,2011-01-21,133.99,7.800000000000011,12.700000000000003,127.054,,,,
2011-01-25,2011-01-24,131.86,-2.1299999999999955,8.340000000000018,128.722,,,,
2011-01-26,2011-01-25,134.61,2.75,6.450000000000017,130.012,,,,
2011-01-27,2011-01-26,131.76,-2.8500000000000227,8.349999999999994,131.68200000000002,,,,
2011-01-28,2011-01-27,130.56,-1.1999999999999886,4.3700000000000045,132.55599999999998,,,,
2011-01-31,2011-01-28,128.23,-2.3300000000000125,-5.760000000000019,131.404,,,,
2011-02-01,2011-01-31,130.3,2.0700000000000216,-1.5600000000000023,131.092,,,,
2011-02-02,2011-02-01,129.0,-1.3000000000000114,-5.610000000000014,129.97,,,,
2011-02-03,2011-02-02,127.52,-1.480000000000004,-4.239999999999995,129.122,,,,
2011-02-04,2011-02-03,127.13,-0.39000000000000057,-3.430000000000007,128.43599999999998,,,,
2011-02-07,2011-02-04,127.45,0.3200000000000074,-0.7799999999999869,128.28000000000003,,,,
2011-02-08,2011-02-07,127.63,0.1799999999999926,-2.670000000000016,127.74600000000001,,,,
2011-02-09,2011-02-08,129.54,1.9099999999999966,0.539999999999992,127.854,,,,
2011-02-10,2011-02-08,129.54,0.0,2.019999999999996,128.25799999999998,,,,
2011-02-11,2011-02-10,129.24,-0.29999999999998295,2.1100000000000136,128.68,,,,
2011-02-14,2011-02-11,131.31,2.069999999999993,3.8599999999999994,129.452,,,,
2011-02-15,2011-02-14,127.41,-3.9000000000000057,-0.21999999999999886,129.408,,,,
2011-02-17,2011-02-16,130.69,3.280000000000001,1.1500000000000057,129.63799999999998,,,,
2011-02-18,2011-02-17,130.97,0.28000000000000114,1.4300000000000068,129.924,,,,
2011-02-22,2011-02-18,136.43,5.460000000000008,7.189999999999998,131.362,,,,
2011-02-23,2011-02-22,125.9,-10.530000000000001,-5.409999999999997,130.28000000000003,,,,
2011-02-24,2011-02-23,124.53,-1.3700000000000045,-2.8799999999999955,129.704,,,,
2011-02-25,2011-02-24,124.68,0.15000000000000568,-6.009999999999991,128.502,,,,
2011-02-28,2011-02-25,128.76,4.079999999999984,-2.210000000000008,128.06,,,,
2011-03-01,2011-02-28,129.37,0.6100000000000136,-7.060000000000002,126.648,,,,
2011-03-02,2011-03-01,122.43,-6.939999999999998,-3.469999999999999,125.954,,,,
2011-03-03,2011-03-02,123.06,0.6299999999999955,-1.4699999999999989,125.66,,,,
2011-03-04,2011-03-03,125.71,2.6499999999999915,1.029999999999987,125.86600000000001,,,,
2011-03-07,2011-03-04,125.9,0.19000000000001194,-2.859999999999985,125.29400000000001,,,,
2011-03-08,2011-03-07,122.95,-2.950000000000003,-6.420000000000002,124.00999999999999,,,,
2011-03-11,2011-03-10,119.26,-3.6899999999999977,-3.1700000000000017,123.376,,,,
2011-03-16,2011-03-15,121.82,2.559999999999988,-1.240000000000009,123.128,,,,
2011-03-17,2011-03-16,122.46,0.6400000000000006,-3.25,122.478,,,,
2011-03-18,2011-03-17,125.85,3.3900000000000006,-0.05000000000001137,122.46799999999999,,,,
2011-03-21,2011-03-18,126.81,0.960000000000008,3.8599999999999994,123.24000000000001,,,,
2011-03-22,2011-03-21,124.59,-2.219999999999999,5.329999999999998,124.306,,,,
2011-03-23,2011-03-22,120.83,-3.760000000000005,-0.9899999999999949,124.10799999999999,,,,
2011-03-24,2011-03-23,120.75,-0.0799999999999983,-1.7099999999999937,123.76599999999999,,,,
2011-03-25,2011-03-24,119.97,-0.7800000000000011,-5.8799999999999955,122.59,,,,
2011-03-28,2011-03-25,121.43,1.460000000000008,-5.3799999999999955,121.51400000000001,,,,
2011-03-29,2011-03-28,122.68,1.25,-1.9099999999999966,121.13199999999999,,,,
2011-03-30,2011-03-29,124.11,1.4299999999999926,3.280000000000001,121.78800000000001,,,,
2011-03-31,2011-03-30,123.5,-0.6099999999999994,2.75,122.33800000000001,,,,
2011-04-01,2011-03-31,124.64,1.1400000000000006,4.670000000000002,123.272,,,,
2011-04-04,2011-04-01,128.64,3.999999999999986,7.2099999999999795,124.71399999999998,,,,
2011-04-05,2011-04-04,128.05,-0.589999999999975,5.3700000000000045,125.78800000000001,0.6833333333333333,,,
2011-04-06,2011-04-05,128.02,-0.030000000000001137,3.910000000000011,126.57000000000001,0.6721311475409836,0.45,,
2011-04-07,2011-04-06,125.18,-2.8400000000000034,1.6800000000000068,126.90599999999999,0.4838709677419355,0.14754098360655737,,0.6
2011-04-08,2011-04-07,126.46,1.279999999999987,1.8199999999999932,127.27000000000001,0.5714285714285714,0.7258064516129032,,0.6229508196721312
2011-04-12,2011-04-11,122.94,-3.519999999999996,-5.699999999999989,126.13,0.296875,0.1111111111111111,,0.5483870967741935
2011-04-13,2011-04-12,121.94,-1.0,-6.110000000000014,124.90799999999999,0.19230769230769232,0.3125,0.05,0.4603174603174603
2011-04-14,2011-04-13,124.55,2.6099999999999994,-3.470000000000013,124.21400000000001,0.4393939393939394,0.8461538461538461,0.19672131147540983,0.40625
2011-04-15,2011-04-14,125.09,0.5400000000000063,-0.09000000000000341,124.196,0.4925373134328358,0.5909090909090909,0.5,0.4
2011-04-18,2011-04-15,130.45,5.359999999999985,3.989999999999995,124.994,0.8676470588235294,0.9701492537313433,0.8095238095238095,0.48484848484848486
2011-04-19,2011-04-18,129.37,-1.079999999999984,6.430000000000007,126.28,0.8043478260869565,0.29411764705882354,0.890625,0.582089552238806
2011-04-20,2011-04-19,129.4,0.030000000000001137,7.460000000000008,127.772,0.8142857142857143,0.4782608695652174,0.9538461538461539,0.6764705882352942
2011-04-25,2011-04-21,131.78,2.3799999999999955,7.230000000000004,129.21800000000002,0.9436619718309859,0.8142857142857143,0.9393939393939394,0.8115942028985508
2011-04-26,2011-04-25,130.88,-0.9000000000000057,5.789999999999992,130.376,0.8888888888888888,0.323943661971831,0.8507462686567164,0.9285714285714286
2011-04-27,2011-04-26,127.45,-3.4299999999999926,-2.999999999999986,129.776,0.6095890410958904,0.1111111111111111,0.25,0.8591549295774648
2011-04-28,2011-04-27,126.93,-0.519999999999996,-2.4399999999999977,129.28799999999998,0.5675675675675675,0.3972602739726027,0.30434782608695654,0.7916666666666666
2011-04-29,2011-04-28,124.99,-1.940000000000012,-4.410000000000011,128.406,0.44,0.20270270270270271,0.15714285714285714,0.6986301369863014
2011-05-02,2011-04-29,127.45,2.460000000000008,-4.329999999999998,127.54,0.618421052631579,0.8266666666666667,0.16901408450704225,0.6081081081081081
2011-05-03,2011-05-02,124.15,-3.299999999999997,-6.72999999999999,126.194,0.36363636363636365,0.11842105263157894,0.027777777777777776,0.52
2011-05-04,2011-05-03,127.49,3.339999999999989,0.03999999999999204,126.202,0.6410256410256411,0.9090909090909091,0.5342465753424658,0.5263157894736842
2011-05-05,2011-05-04,125.29,-2.1999999999999886,-1.6400000000000006,125.874,0.46835443037974683,0.19230769230769232,0.3918918918918919,0.4805194805194805
