session_date,availability_cutoff,observation_date,availability_lag_business_days,sector_dispersion_1d,sector_dispersion_5d,sector_avg_abs_spy_gap_1d,sector_avg_abs_spy_gap_5d,sector_dispersion_change_1d,sector_dispersion_change_5d,sector_dispersion_1d_rank_252,sector_dispersion_5d_rank_252,sector_avg_abs_spy_gap_1d_rank_252,sector_avg_abs_spy_gap_5d_rank_252,sector_dispersion_change_1d_rank_252,sector_dispersion_change_5d_rank_252
2011-01-03,2010-12-31,2010-12-31,1,0.0011424015133615912,0.003463064536393931,0.0009238483338393896,0.003590935552610871,0.0004396861198565108,-0.0047466752715345055,0.011904761904761904,0.015873015873015872,0.015873015873015872,0.023809523809523808,0.5873015873015873,0.21825396825396826
2011-01-05,2011-01-04,2011-01-04,1,0.003578350096388831,0.005822165032172467,0.0031727529561482565,0.00502243613567342,-0.002473545643059573,-0.0048008216226089195,0.30158730158730157,0.0992063492063492,0.30952380952380953,0.09126984126984126,0.15873015873015872,0.2222222222222222
2011-01-07,2011-01-06,2011-01-06,1,0.004477878465033177,0.010731762488037224,0.00389506128055899,0.009658980000720694,-0.0009286890899526104,0.008143561876439515,0.5119047619047619,0.5317460317460317,0.5158730158730159,0.623015873015873,0.35714285714285715,0.9047619047619048
2011-01-10,2011-01-07,2011-01-07,1,0.003964053516559427,0.009671356422035478,0.00351864856172238,0.007361146623002912,-0.0005138249484737505,0.006208291885641547,0.376984126984127,0.4166666666666667,0.4126984126984127,0.3373015873015873,0.40476190476190477,0.873015873015873
2011-01-11,2011-01-10,2011-01-10,1,0.00227314312005737,0.0074743350299570415,0.002000265933650547,0.006784949880439746,-0.0016909103965020568,0.0028242224647935625,0.07936507936507936,0.21428571428571427,0.08333333333333333,0.2698412698412698,0.25,0.7103174603174603
2011-01-12,2011-01-11,2011-01-11,1,0.002360475135646388,0.006619019703928982,0.002407329886425415,0.006286272977345361,8.733201558901822e-05,0.0007968546717565155,0.09126984126984126,0.15079365079365079,0.14682539682539683,0.20238095238095238,0.5277777777777778,0.5833333333333334
2011-01-13,2011-01-12,2011-01-12,1,0.004183127532987495,0.006202366207370264,0.0033705822931493173,0.0055318095092697596,0.0018226523973411072,-0.003724024996668622,0.42857142857142855,0.12301587301587301,0.36904761904761907,0.14682539682539683,0.7777777777777778,0.2896825396825397
2011-01-14,2011-01-13,2011-01-13,1,0.0022735736965450513,0.0051435355681776485,0.0018645031766521627,0.005201602216729971,-0.001909553836442444,-0.005588226919859576,0.08333333333333333,0.07539682539682539,0.07142857142857142,0.11507936507936507,0.21031746031746032,0.17857142857142858
2011-01-18,2011-01-17,2011-01-14,1,0.004905886502319597,0.009032979091160836,0.00434116902985788,0.008464485988211574,0.002632312805774546,-0.0006383773308746427,0.5992063492063492,0.376984126984127,0.6428571428571429,0.503968253968254,0.8214285714285714,0.4603174603174603
2011-01-19,2011-01-18,2011-01-18,1,0.003727303227686123,0.006695531739552917,0.002691774593434853,0.007418526658178897,-0.0011785832746334744,-0.0007788032904041241,0.3412698412698413,0.1626984126984127,0.2222222222222222,0.35714285714285715,0.31746031746031744,0.44841269841269843
2011-01-20,2011-01-19,2011-01-19,1,0.006291431660182611,0.00510893933838392,0.004849221985922255,0.004813710959937941,0.002564128432496488,-0.0015100803655450626,0.7738095238095238,0.07539682539682539,0.7142857142857143,0.07936507936507936,0.8134920634920635,0.3888888888888889
2011-01-21,2011-01-20,2011-01-20,1,0.0046706346611138155,0.0067898078646847345,0.005230237134563641,0.0052925662875547164,-0.0016207969990687954,0.0005874416573144704,0.5753968253968254,0.18253968253968253,0.7579365079365079,0.1388888888888889,0.2619047619047619,0.5793650793650794
2011-01-24,2011-01-21,2011-01-21,1,0.004536612107708467,0.005577415679474227,0.0035511415840696137,0.00485317607396201,-0.0001340225534053486,0.0004338801112965789,0.5476190476190477,0.0873015873015873,0.44841269841269843,0.08333333333333333,0.49603174603174605,0.5674603174603174
2011-01-25,2011-01-24,2011-01-24,1,0.00520824245768756,0.009027252414050585,0.004527176477384305,0.0076929004195068285,0.0006716303499790929,-5.72667711025085e-06,0.6388888888888888,0.39285714285714285,0.6666666666666666,0.4087301587301587,0.6349206349206349,0.5317460317460317
2011-01-26,2011-01-25,2011-01-25,1,0.0023162935210571233,0.007044499979275313,0.0019386097128218452,0.006173676076743224,-0.0028919489366304365,0.00034896823972239543,0.09126984126984126,0.21825396825396826,0.08333333333333333,0.21428571428571427,0.1111111111111111,0.5634920634920635
2011-01-27,2011-01-26,2011-01-26,1,0.0035620317758508968,0.00470918400086216,0.0042647406059875825,0.0038102734610293404,0.0012457382547937735,-0.0003997553375217596,0.30952380952380953,0.06746031746031746,0.6190476190476191,0.03968253968253968,0.7380952380952381,0.49206349206349204
2011-01-28,2011-01-27,2011-01-27,1,0.005712474402142449,0.010948492921715344,0.003923492734555738,0.00981279682879215,0.0021504426262915523,0.004158685057030609,0.7182539682539683,0.5793650793650794,0.5436507936507936,0.6626984126984127,0.8015873015873016,0.7817460317460317
