campaign_id,variant_id,symbol,run_id,config_path,source_config_path,report_path,terminal_stage,stage_passed,profitable_combo_rate,benchmark_pass_combos,apex_rule_violating_iterations,top_net_profit,top_profit_factor,top_total_trades,top_trades_per_year,top_max_drawdown,top_mar,top_failure_reason,entry.params.pressure_rank_threshold,entry.params.min_return_ticks,sl.params.stop_offset_ticks,tp.params.target_r_multiple
es_orderflow_impulse_reversal,afternoon_60m_impulse_reversal_1400,ES,rescue1,backtest-campaigns/es_orderflow_impulse_reversal/afternoon_60m_impulse_reversal_1400/ES/rescue1/effective_config.yaml,campaigns/es_orderflow_impulse_reversal/rescue_attempts/parameter_space_rescue_1/afternoon_60m_impulse_reversal_1400/config.yaml,backtest-campaigns/es_orderflow_impulse_reversal/afternoon_60m_impulse_reversal_1400/ES/rescue1/campaign_test_summary.json,limited_core_grid_test,False,0.0,0,0,-1969.375,0.48780884265279584,97,63.38182184107248,2105.625,-0.6127347437084115,min_total_net_profit,0.8,8,3,0.75
es_orderflow_impulse_reversal,afternoon_60m_impulse_reversal_1400,ES,run1,backtest-campaigns/es_orderflow_impulse_reversal/afternoon_60m_impulse_reversal_1400/ES/run1/effective_config.yaml,campaigns/es_orderflow_impulse_reversal/variants/afternoon_60m_impulse_reversal_1400/config.yaml,backtest-campaigns/es_orderflow_impulse_reversal/afternoon_60m_impulse_reversal_1400/ES/run1/campaign_test_summary.json,limited_core_grid_test,False,0.0,0,0,-1847.5,0.5050234427327528,97,63.38339671492447,1905.0,-0.635317393658836,min_total_net_profit,0.8,8,2,1.0
es_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,ES,rescue1,backtest-campaigns/es_orderflow_impulse_reversal/early_5m_impulse_reversal_1000/ES/rescue1/effective_config.yaml,campaigns/es_orderflow_impulse_reversal/rescue_attempts/parameter_space_rescue_1/early_5m_impulse_reversal_1000/config.yaml,backtest-campaigns/es_orderflow_impulse_reversal/early_5m_impulse_reversal_1000/ES/rescue1/campaign_test_summary.json,limited_core_grid_test,False,0.0,0,0,-2491.875,0.40456989247311825,94,61.20508059125009,2511.875,-0.6479059088920909,min_total_net_profit,0.85,3,3,0.75
es_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,ES,run1,backtest-campaigns/es_orderflow_impulse_reversal/early_5m_impulse_reversal_1000/ES/run1/effective_config.yaml,campaigns/es_orderflow_impulse_reversal/variants/early_5m_impulse_reversal_1000/config.yaml,backtest-campaigns/es_orderflow_impulse_reversal/early_5m_impulse_reversal_1000/ES/run1/campaign_test_summary.json,limited_core_grid_test,False,0.0,0,0,-2570.0,0.514865502595564,94,61.20508059125009,2615.0,-0.6420331537834681,min_total_net_profit,0.85,3,4,1.0
es_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,ES,rescue1,backtest-campaigns/es_orderflow_impulse_reversal/late_day_30m_impulse_reversal_1500/ES/rescue1/effective_config.yaml,campaigns/es_orderflow_impulse_reversal/rescue_attempts/parameter_space_rescue_1/late_day_30m_impulse_reversal_1500/config.yaml,backtest-campaigns/es_orderflow_impulse_reversal/late_day_30m_impulse_reversal_1500/ES/rescue1/campaign_test_summary.json,limited_core_grid_test,False,0.0,0,0,-2605.0,0.15284552845528454,91,60.000225647891504,2605.0,-0.6613087926566681,min_total_net_profit,0.85,5,2,0.5
es_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,ES,run1,backtest-campaigns/es_orderflow_impulse_reversal/late_day_30m_impulse_reversal_1500/ES/run1/effective_config.yaml,campaigns/es_orderflow_impulse_reversal/variants/late_day_30m_impulse_reversal_1500/config.yaml,backtest-campaigns/es_orderflow_impulse_reversal/late_day_30m_impulse_reversal_1500/ES/run1/campaign_test_summary.json,limited_core_grid_test,False,0.0,0,0,-2605.0,0.15284552845528454,91,60.000225647891504,2605.0,-0.6613087926566681,min_total_net_profit,0.85,5,2,0.5
es_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,ES,rescue1,backtest-campaigns/es_orderflow_impulse_reversal/late_morning_15m_impulse_reversal_1130/ES/rescue1/effective_config.yaml,campaigns/es_orderflow_impulse_reversal/rescue_attempts/parameter_space_rescue_1/late_morning_15m_impulse_reversal_1130/config.yaml,backtest-campaigns/es_orderflow_impulse_reversal/late_morning_15m_impulse_reversal_1130/ES/rescue1/campaign_test_summary.json,limited_core_grid_test,False,0.0,0,0,-2350.0,0.03934593765968319,85,55.642526519644385,2350.0,-0.6564015819418367,min_total_net_profit;max_consecutive_losses,0.85,4,3,0.25
es_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,ES,run1,backtest-campaigns/es_orderflow_impulse_reversal/late_morning_15m_impulse_reversal_1130/ES/run1/effective_config.yaml,campaigns/es_orderflow_impulse_reversal/variants/late_morning_15m_impulse_reversal_1130/config.yaml,backtest-campaigns/es_orderflow_impulse_reversal/late_morning_15m_impulse_reversal_1130/ES/run1/campaign_test_summary.json,limited_core_grid_test,False,0.0,0,0,-2600.0,0.44739638682252925,85,55.64204174901801,2600.0,-0.6565871347391015,min_total_net_profit,0.85,4,4,1.0
es_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,ES,rescue1,backtest-campaigns/es_orderflow_impulse_reversal/midday_30m_impulse_reversal_1230/ES/rescue1/effective_config.yaml,campaigns/es_orderflow_impulse_reversal/rescue_attempts/parameter_space_rescue_1/midday_30m_impulse_reversal_1230/config.yaml,backtest-campaigns/es_orderflow_impulse_reversal/midday_30m_impulse_reversal_1230/ES/rescue1/campaign_test_summary.json,limited_core_grid_test,False,0.0,0,0,-2332.5,0.34480337078651685,79,52.85048512075869,2410.625,-0.6489898408913007,min_total_net_profit,0.85,4,3,0.75
es_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,ES,run1,backtest-campaigns/es_orderflow_impulse_reversal/midday_30m_impulse_reversal_1230/ES/run1/effective_config.yaml,campaigns/es_orderflow_impulse_reversal/variants/midday_30m_impulse_reversal_1230/config.yaml,backtest-campaigns/es_orderflow_impulse_reversal/midday_30m_impulse_reversal_1230/ES/run1/campaign_test_summary.json,limited_core_grid_test,False,0.0,0,0,-2220.0,0.3148148148148148,79,52.847258611830426,2220.0,-0.6706022623959179,min_total_net_profit,0.85,4,4,0.5
