campaign_id,variant_id,test_run_id,wfa_reached,status
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,rescue1,False,not_reached_core_failed
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,run1,False,not_reached_core_failed
es_variance_ratio_orderflow_regime,midday_high_vr_large10_continuation_1400,rescue1,False,not_reached_core_failed
es_variance_ratio_orderflow_regime,midday_high_vr_large10_continuation_1400,run1,False,not_reached_core_failed
es_variance_ratio_orderflow_regime,midday_low_vr_large10_reversion_1430,rescue1,False,not_reached_core_failed
es_variance_ratio_orderflow_regime,midday_low_vr_large10_reversion_1430,run1,False,not_reached_core_failed
es_variance_ratio_orderflow_regime,morning_high_vr_signed_continuation_1130,rescue1,False,not_reached_core_failed
es_variance_ratio_orderflow_regime,morning_high_vr_signed_continuation_1130,run1,False,not_reached_core_failed
es_variance_ratio_orderflow_regime,morning_low_vr_signed_reversion_1130,rescue1,False,not_reached_core_failed
es_variance_ratio_orderflow_regime,morning_low_vr_signed_reversion_1130,run1,False,not_reached_core_failed
