campaign_id,variant_id,test_run_id,rescue_attempt,status,terminal_stage,profit_factor,mar,trades_per_year,net_profit,total_trades,profitable_window_rate,wfa_summary,wfa_oos_trade_log,note
es_credit_etf_orderflow_risk_appetite,hyg_1d_strength_signed_long_1230,run1,none,not_reached,limited_core_grid_test,,,,,,,,,not reached because earlier stage failed
es_credit_etf_orderflow_risk_appetite,hyg_1d_strength_signed_long_1230,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,,,,,,,,,not reached because earlier stage failed
es_credit_etf_orderflow_risk_appetite,hyg_1d_weakness_signed_short_1230,run1,none,not_reached,limited_core_grid_test,,,,,,,,,not reached because earlier stage failed
es_credit_etf_orderflow_risk_appetite,hyg_1d_weakness_signed_short_1230,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,,,,,,,,,not reached because earlier stage failed
es_credit_etf_orderflow_risk_appetite,hyg_1d_two_sided_signed_1230,run1,none,not_reached,limited_core_grid_test,,,,,,,,,not reached because earlier stage failed
es_credit_etf_orderflow_risk_appetite,hyg_1d_two_sided_signed_1230,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,,,,,,,,,not reached because earlier stage failed
es_credit_etf_orderflow_risk_appetite,hyg_3d_two_sided_signed_1230,run1,none,not_reached,limited_core_grid_test,,,,,,,,,not reached because earlier stage failed
es_credit_etf_orderflow_risk_appetite,hyg_3d_two_sided_signed_1230,rescue1,parameter_space_rescue_1,failed,walk_forward_analysis,1.077365644773513,0.08981641818942494,68.54306003101846,16170.0,676,0.6,backtest-campaigns/es_credit_etf_orderflow_risk_appetite/hyg_3d_two_sided_signed_1230/ES/rescue1/walk_forward_analysis/wfa_summary.json,backtest-campaigns/es_credit_etf_orderflow_risk_appetite/hyg_3d_two_sided_signed_1230/ES/rescue1/walk_forward_analysis/wfa_oos_trade_log.csv,failed WFA thresholds
es_credit_etf_orderflow_risk_appetite,hyg_5d_two_sided_signed_1230,run1,none,not_reached,limited_core_grid_test,,,,,,,,,not reached because earlier stage failed
es_credit_etf_orderflow_risk_appetite,hyg_5d_two_sided_signed_1230,rescue1,parameter_space_rescue_1,not_reached,limited_monkey_test,,,,,,,,,not reached because earlier stage failed
