artifact_type,path,description
campaign_source,campaigns/nq_overnight_range_compression_orderflow_breakout/campaign.yaml,Authored campaign definition with final FAIL decision.
results_index,campaigns/nq_overnight_range_compression_orderflow_breakout/results_index.yaml,Navigation index from authored configs to generated staged evidence.
campaign_summary,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/campaign_test_summary.json,Campaign-level staged test summary.
campaign_results,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/campaign_results.csv,Variant-level limited-core metrics table.
methodology_audit,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/methodology_audit.md,"No-lookahead, source-quality, and staged-decision audit."
density_audit,research_artifacts/nq_overnight_range_compression_orderflow_breakout_density_audit_20260630.md,Pre-PnL signal-density gate markdown summary.
density_detail,research_artifacts/nq_overnight_range_compression_orderflow_breakout_density_audit_20260630.csv,Pre-PnL signal-density detail rows.
density_summary,research_artifacts/nq_overnight_range_compression_orderflow_breakout_density_summary_20260630.csv,Pre-PnL signal-density variant summary.
variant_summary,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/afternoon_large20_two_sided_breakout_1500/NQ/run1/campaign_test_summary.json,afternoon_large20_two_sided_breakout_1500: Generated staged run summary.
stage_result,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/afternoon_large20_two_sided_breakout_1500/NQ/run1/limited_core_grid_test/stage_result.json,afternoon_large20_two_sided_breakout_1500: Limited-core stage result JSON.
core_grid_results,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/afternoon_large20_two_sided_breakout_1500/NQ/run1/limited_core_grid_test/core_grid_results.csv,afternoon_large20_two_sided_breakout_1500: Limited-core parameter-grid result table.
fixed_trade_log,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/afternoon_large20_two_sided_breakout_1500/NQ/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,afternoon_large20_two_sided_breakout_1500: Fixed-config trade log for mechanics cross-check.
fixed_equity_curve,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/afternoon_large20_two_sided_breakout_1500/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,afternoon_large20_two_sided_breakout_1500: Fixed-config equity curve CSV.
fixed_daily_results,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/afternoon_large20_two_sided_breakout_1500/NQ/run1/limited_core_grid_test/fixed_config_core_daily_results.csv,afternoon_large20_two_sided_breakout_1500: Fixed-config daily result CSV.
variant_summary,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/late_morning_large10_two_sided_breakout_1130/NQ/run1/campaign_test_summary.json,late_morning_large10_two_sided_breakout_1130: Generated staged run summary.
stage_result,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/late_morning_large10_two_sided_breakout_1130/NQ/run1/limited_core_grid_test/stage_result.json,late_morning_large10_two_sided_breakout_1130: Limited-core stage result JSON.
core_grid_results,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/late_morning_large10_two_sided_breakout_1130/NQ/run1/limited_core_grid_test/core_grid_results.csv,late_morning_large10_two_sided_breakout_1130: Limited-core parameter-grid result table.
fixed_trade_log,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/late_morning_large10_two_sided_breakout_1130/NQ/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,late_morning_large10_two_sided_breakout_1130: Fixed-config trade log for mechanics cross-check.
fixed_equity_curve,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/late_morning_large10_two_sided_breakout_1130/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,late_morning_large10_two_sided_breakout_1130: Fixed-config equity curve CSV.
fixed_daily_results,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/late_morning_large10_two_sided_breakout_1130/NQ/run1/limited_core_grid_test/fixed_config_core_daily_results.csv,late_morning_large10_two_sided_breakout_1130: Fixed-config daily result CSV.
variant_summary,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/midday_signed_two_sided_breakout_1300/NQ/run1/campaign_test_summary.json,midday_signed_two_sided_breakout_1300: Generated staged run summary.
stage_result,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/midday_signed_two_sided_breakout_1300/NQ/run1/limited_core_grid_test/stage_result.json,midday_signed_two_sided_breakout_1300: Limited-core stage result JSON.
core_grid_results,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/midday_signed_two_sided_breakout_1300/NQ/run1/limited_core_grid_test/core_grid_results.csv,midday_signed_two_sided_breakout_1300: Limited-core parameter-grid result table.
fixed_trade_log,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/midday_signed_two_sided_breakout_1300/NQ/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,midday_signed_two_sided_breakout_1300: Fixed-config trade log for mechanics cross-check.
fixed_equity_curve,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/midday_signed_two_sided_breakout_1300/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,midday_signed_two_sided_breakout_1300: Fixed-config equity curve CSV.
fixed_daily_results,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/midday_signed_two_sided_breakout_1300/NQ/run1/limited_core_grid_test/fixed_config_core_daily_results.csv,midday_signed_two_sided_breakout_1300: Fixed-config daily result CSV.
variant_summary,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/morning_large10_two_sided_breakout_1100/NQ/run1/campaign_test_summary.json,morning_large10_two_sided_breakout_1100: Generated staged run summary.
stage_result,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/morning_large10_two_sided_breakout_1100/NQ/run1/limited_core_grid_test/stage_result.json,morning_large10_two_sided_breakout_1100: Limited-core stage result JSON.
core_grid_results,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/morning_large10_two_sided_breakout_1100/NQ/run1/limited_core_grid_test/core_grid_results.csv,morning_large10_two_sided_breakout_1100: Limited-core parameter-grid result table.
fixed_trade_log,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/morning_large10_two_sided_breakout_1100/NQ/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,morning_large10_two_sided_breakout_1100: Fixed-config trade log for mechanics cross-check.
fixed_equity_curve,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/morning_large10_two_sided_breakout_1100/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,morning_large10_two_sided_breakout_1100: Fixed-config equity curve CSV.
fixed_daily_results,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/morning_large10_two_sided_breakout_1100/NQ/run1/limited_core_grid_test/fixed_config_core_daily_results.csv,morning_large10_two_sided_breakout_1100: Fixed-config daily result CSV.
variant_summary,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/morning_signed_two_sided_breakout_1030/NQ/run1/campaign_test_summary.json,morning_signed_two_sided_breakout_1030: Generated staged run summary.
stage_result,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/morning_signed_two_sided_breakout_1030/NQ/run1/limited_core_grid_test/stage_result.json,morning_signed_two_sided_breakout_1030: Limited-core stage result JSON.
core_grid_results,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/morning_signed_two_sided_breakout_1030/NQ/run1/limited_core_grid_test/core_grid_results.csv,morning_signed_two_sided_breakout_1030: Limited-core parameter-grid result table.
fixed_trade_log,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/morning_signed_two_sided_breakout_1030/NQ/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,morning_signed_two_sided_breakout_1030: Fixed-config trade log for mechanics cross-check.
fixed_equity_curve,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/morning_signed_two_sided_breakout_1030/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,morning_signed_two_sided_breakout_1030: Fixed-config equity curve CSV.
fixed_daily_results,backtest-campaigns/nq_overnight_range_compression_orderflow_breakout/morning_signed_two_sided_breakout_1030/NQ/run1/limited_core_grid_test/fixed_config_core_daily_results.csv,morning_signed_two_sided_breakout_1030: Fixed-config daily result CSV.
