variant_id,entry_combo,full_signals,signals_per_year_full,limited_core_start,limited_core_end,limited_core_signals,signals_per_year_limited_core,latest_252_signals,fails_full_50_per_year,fails_limited_core_50_per_year,fails_latest_252_50,passes_full_50_per_year,passes_limited_core_50_per_year,passes_latest_252_count_50
prior_high_smt_short_1000_1130,"entry.params.sweep_buffer_ticks=0,entry.params.reclaim_buffer_ticks=0",529,35.016548,2011-02-22,2012-09-06,42,28.682927,39,True,True,True,False,False,False
prior_high_smt_short_1000_1130,"entry.params.sweep_buffer_ticks=0,entry.params.reclaim_buffer_ticks=2",511,33.825059,2011-02-22,2012-09-06,37,25.268293,39,True,True,True,False,False,False
prior_high_smt_short_1000_1130,"entry.params.sweep_buffer_ticks=0,entry.params.reclaim_buffer_ticks=4",490,32.434988,2011-02-22,2012-09-06,34,23.219512,39,True,True,True,False,False,False
prior_high_smt_short_1000_1130,"entry.params.sweep_buffer_ticks=2,entry.params.reclaim_buffer_ticks=0",539,35.678487,2011-02-22,2012-09-06,41,28.0,37,True,True,True,False,False,False
prior_high_smt_short_1000_1130,"entry.params.sweep_buffer_ticks=2,entry.params.reclaim_buffer_ticks=2",521,34.486998,2011-02-22,2012-09-06,36,24.585366,37,True,True,True,False,False,False
prior_high_smt_short_1000_1130,"entry.params.sweep_buffer_ticks=2,entry.params.reclaim_buffer_ticks=4",507,33.560284,2011-02-22,2012-09-06,33,22.536585,37,True,True,True,False,False,False
prior_high_smt_short_1000_1130,"entry.params.sweep_buffer_ticks=4,entry.params.reclaim_buffer_ticks=0",540,35.744681,2011-02-22,2012-09-06,41,28.0,36,True,True,True,False,False,False
prior_high_smt_short_1000_1130,"entry.params.sweep_buffer_ticks=4,entry.params.reclaim_buffer_ticks=2",524,34.685579,2011-02-22,2012-09-06,36,24.585366,36,True,True,True,False,False,False
prior_high_smt_short_1000_1130,"entry.params.sweep_buffer_ticks=4,entry.params.reclaim_buffer_ticks=4",507,33.560284,2011-02-22,2012-09-06,32,21.853659,35,True,True,True,False,False,False
prior_high_smt_short_1030_1200,"entry.params.sweep_buffer_ticks=0,entry.params.reclaim_buffer_ticks=0",452,29.919622,2011-02-22,2012-09-06,38,25.95122,35,True,True,True,False,False,False
prior_high_smt_short_1030_1200,"entry.params.sweep_buffer_ticks=0,entry.params.reclaim_buffer_ticks=2",436,28.86052,2011-02-22,2012-09-06,37,25.268293,35,True,True,True,False,False,False
prior_high_smt_short_1030_1200,"entry.params.sweep_buffer_ticks=0,entry.params.reclaim_buffer_ticks=4",428,28.330969,2011-02-22,2012-09-06,36,24.585366,35,True,True,True,False,False,False
prior_high_smt_short_1030_1200,"entry.params.sweep_buffer_ticks=2,entry.params.reclaim_buffer_ticks=0",461,30.515366,2011-02-22,2012-09-06,34,23.219512,34,True,True,True,False,False,False
prior_high_smt_short_1030_1200,"entry.params.sweep_buffer_ticks=2,entry.params.reclaim_buffer_ticks=2",445,29.456265,2011-02-22,2012-09-06,33,22.536585,34,True,True,True,False,False,False
prior_high_smt_short_1030_1200,"entry.params.sweep_buffer_ticks=2,entry.params.reclaim_buffer_ticks=4",438,28.992908,2011-02-22,2012-09-06,31,21.170732,34,True,True,True,False,False,False
prior_high_smt_short_1030_1200,"entry.params.sweep_buffer_ticks=4,entry.params.reclaim_buffer_ticks=0",467,30.91253,2011-02-22,2012-09-06,33,22.536585,34,True,True,True,False,False,False
prior_high_smt_short_1030_1200,"entry.params.sweep_buffer_ticks=4,entry.params.reclaim_buffer_ticks=2",452,29.919622,2011-02-22,2012-09-06,32,21.853659,34,True,True,True,False,False,False
prior_high_smt_short_1030_1200,"entry.params.sweep_buffer_ticks=4,entry.params.reclaim_buffer_ticks=4",442,29.257683,2011-02-22,2012-09-06,30,20.487805,34,True,True,True,False,False,False
prior_low_smt_long_1000_1130,"entry.params.sweep_buffer_ticks=0,entry.params.reclaim_buffer_ticks=0",403,26.676123,2011-02-22,2012-09-06,29,19.804878,30,True,True,True,False,False,False
prior_low_smt_long_1000_1130,"entry.params.sweep_buffer_ticks=0,entry.params.reclaim_buffer_ticks=2",392,25.947991,2011-02-22,2012-09-06,26,17.756098,30,True,True,True,False,False,False
prior_low_smt_long_1000_1130,"entry.params.sweep_buffer_ticks=0,entry.params.reclaim_buffer_ticks=4",386,25.550827,2011-02-22,2012-09-06,25,17.073171,30,True,True,True,False,False,False
