campaign_id,variant_id,symbol,timeframe,test_run_id,decision,passed,terminal_stage,terminal_status,failure_reason,source_config_path,effective_config_path,output_dir,dataset_id,core_status,core_expected_combinations,core_total_combinations,core_number_passing_benchmark,core_percentage_passing_benchmark,core_profitable_iterations,core_percentage_profitable_iterations,core_apex_rule_violating_iterations,core_top_net_profit,core_top_profit_factor,core_top_mar,core_top_trades_per_year,core_top_total_trades,core_top_failure_reason,limited_monkey_status,wfa_status,wfa_oos_net_profit,wfa_oos_profit_factor,wfa_oos_mar,wfa_oos_trades_per_year,wfa_oos_monte_carlo_status,mc_probability_profit_before_drawdown,mc_probability_account_breach,mc_probability_payout_eligible,fixed_config_core_trade_log
es_bls_macro_release_day_drift,combined_bls_release_momentum_long_1130,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_bls_macro_release_day_drift/rescue_attempts/tp_min_rr_floor_rescue_1/combined_bls_release_momentum_long_1130/config.yaml,backtest-campaigns/es_bls_macro_release_day_drift/combined_bls_release_momentum_long_1130/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_bls_macro_release_day_drift/combined_bls_release_momentum_long_1130/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,18,18,0,0.0,0,0.0,0,-187.5,0.4863013698630137,-0.5328373688297238,4.013546367616916,5,min_total_net_profit;min_trades_per_year;preferred_min_total_trades,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_bls_macro_release_day_drift/combined_bls_release_momentum_long_1130/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_cboe_implied_correlation_intraday,rising_cor3m_short_1130,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_cboe_implied_correlation_intraday/rescue_attempts/tp_min_rr_floor_rescue_1/rising_cor3m_short_1130/config.yaml,backtest-campaigns/es_cboe_implied_correlation_intraday/rising_cor3m_short_1130/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_cboe_implied_correlation_intraday/rising_cor3m_short_1130/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,9,9,0,0.0,0,0.0,0,-4590.0,0.6371541501976284,-0.6826660975927207,109.5389046637682,153,min_total_net_profit,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_cboe_implied_correlation_intraday/rising_cor3m_short_1130/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_cboe_skew_tail_risk_intraday,high_skew_short_1000,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.1111111111111111 expected {'min': 0.7},campaigns/es_cboe_skew_tail_risk_intraday/rescue_attempts/tp_min_rr_floor_rescue_1/high_skew_short_1000/config.yaml,backtest-campaigns/es_cboe_skew_tail_risk_intraday/high_skew_short_1000/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_cboe_skew_tail_risk_intraday/high_skew_short_1000/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,9,9,0,0.0,1,0.1111111111111111,0,385.0,1.0416553962672437,0.18356646177296249,69.10042497285268,98,max_best_day_concentration,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_cboe_skew_tail_risk_intraday/high_skew_short_1000/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_cboe_vix_level_state_intraday,low_vix_complacency_short_1030,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_cboe_vix_level_state_intraday/rescue_attempts/tp_min_rr_floor_rescue_1/low_vix_complacency_short_1030/config.yaml,backtest-campaigns/es_cboe_vix_level_state_intraday/low_vix_complacency_short_1030/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_cboe_vix_level_state_intraday/low_vix_complacency_short_1030/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,18,18,0,0.0,0,0.0,0,-2885.0,0.7578682333193454,-0.4468067554855888,80.26779649567871,122,min_total_net_profit,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_cboe_vix_level_state_intraday/low_vix_complacency_short_1030/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_cboe_vxn_vix_dispersion_intraday,low_vxn_vix_ratio_long_1130,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_cboe_vxn_vix_dispersion_intraday/rescue_attempts/tp_min_rr_floor_rescue_1/low_vxn_vix_ratio_long_1130/config.yaml,backtest-campaigns/es_cboe_vxn_vix_dispersion_intraday/low_vxn_vix_ratio_long_1130/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_cboe_vxn_vix_dispersion_intraday/low_vxn_vix_ratio_long_1130/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,18,18,0,0.0,0,0.0,0,-1250.0,0.9056781739294473,-0.6698201287054897,145.1770885087657,105,min_total_net_profit,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_cboe_vxn_vix_dispersion_intraday/low_vxn_vix_ratio_long_1130/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_cftc_tff_hedging_pressure,broad_negative_pressure_short_1100,ES,5m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_cftc_tff_hedging_pressure/rescue_attempts/tp_min_rr_floor_rescue_1/broad_negative_pressure_short_1100/config.yaml,backtest-campaigns/es_cftc_tff_hedging_pressure/broad_negative_pressure_short_1100/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_cftc_tff_hedging_pressure/broad_negative_pressure_short_1100/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,27,27,0,0.0,0,0.0,0,-2055.625,0.8517132551848512,-0.35867829808917917,90.53254240738856,93,min_total_net_profit;max_consecutive_losses,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_cftc_tff_hedging_pressure/broad_negative_pressure_short_1100/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_chicagofed_cfnai_activity_pullback,diffusion_weak_pullback_long_1200,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_chicagofed_cfnai_activity_pullback/rescue_attempts/tp_min_rr_floor_rescue_1/diffusion_weak_pullback_long_1200/config.yaml,backtest-campaigns/es_chicagofed_cfnai_activity_pullback/diffusion_weak_pullback_long_1200/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_chicagofed_cfnai_activity_pullback/diffusion_weak_pullback_long_1200/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,54,54,0,0.0,0,0.0,0,-727.5,0.9652868901347966,-0.10412215933054911,96.50941325977125,148,min_total_net_profit,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_chicagofed_cfnai_activity_pullback/diffusion_weak_pullback_long_1200/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_consumer_sentiment_state_intraday,rising_sentiment_long_1130,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_consumer_sentiment_state_intraday/rescue_attempts/tp_min_rr_floor_rescue_1/rising_sentiment_long_1130/config.yaml,backtest-campaigns/es_consumer_sentiment_state_intraday/rising_sentiment_long_1130/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_consumer_sentiment_state_intraday/rising_sentiment_long_1130/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,18,18,0,0.0,0,0.0,0,-4156.25,0.8317648249342239,-0.4269399252668456,136.84027468727962,190,min_total_net_profit;max_consecutive_losses,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_consumer_sentiment_state_intraday/rising_sentiment_long_1130/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_daily_reversal_orderflow_confirmation,first120_3d_flow_confirm_1130,ES,5m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_daily_reversal_orderflow_confirmation/rescue_attempts/tp_min_rr_floor_rescue_1/first120_3d_flow_confirm_1130/config.yaml,backtest-campaigns/es_daily_reversal_orderflow_confirmation/first120_3d_flow_confirm_1130/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_daily_reversal_orderflow_confirmation/first120_3d_flow_confirm_1130/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,54,54,0,0.0,0,0.0,0,-1840.0,0.8951566951566952,-0.37917063388773853,92.97281233788276,138,min_total_net_profit,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_daily_reversal_orderflow_confirmation/first120_3d_flow_confirm_1130/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_daily_short_term_reversal,prior_3d_two_sided_reversal_1130,ES,5m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_daily_short_term_reversal/rescue_attempts/tp_min_rr_floor_rescue_1/prior_3d_two_sided_reversal_1130/config.yaml,backtest-campaigns/es_daily_short_term_reversal/prior_3d_two_sided_reversal_1130/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_daily_short_term_reversal/prior_3d_two_sided_reversal_1130/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,9,9,0,0.0,0,0.0,0,-2977.5,0.9289294665234515,-0.39153277599373326,242.12167799801102,368,min_total_net_profit;max_consecutive_losses,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_daily_short_term_reversal/prior_3d_two_sided_reversal_1130/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
