module,path,local_data_status,eligibility_decision,reason
cboe_implied_correlation_orderflow_confirmation,src/propstack/strategy_modules/entry/cboe_implied_correlation_orderflow_confirmation.py,nq_feature_default_exists,duplicate_or_post_result_confirmation,Orderflow-confirmed wrapper around already failed Cboe implied-correlation state; default feature path is NQ-specific and an ES reroute would be a post-result confirmation variant rather than a new edge.
cboe_put_call_orderflow_confirmation,src/propstack/strategy_modules/entry/cboe_put_call_orderflow_confirmation.py,es_base_feature_available_via_parent,duplicate_or_post_result_confirmation,Orderflow-confirmed wrapper around already failed ES Cboe put-call sentiment campaign; not a distinct untested edge without explicit rescue/reopen approval.
cboe_vix_orderflow_confirmation,src/propstack/strategy_modules/entry/cboe_vix_orderflow_confirmation.py,nq_feature_default_exists,duplicate_or_post_result_confirmation,Orderflow-confirmed wrapper around already failed VIX-level state family; default feature path is NQ-specific and ES reroute would be a post-result confirmation variant.
cftc_tff_tiered_hedging_pressure,src/propstack/strategy_modules/entry/cftc_tff_tiered_hedging_pressure.py,local_feature_exists,duplicate,Same CFTC/TFF hedging-pressure family as completed active ES campaign and prior duplicate inventory gate.
credit_spread_state,src/propstack/strategy_modules/entry/credit_spread_state.py,local_feature_exists,data_gated,Explicit HY/IG OAS credit-spread state was already gated because valid ranked ES sessions start in 2023 and are too short for default staged WFA.
intraday_momentum_priority,src/propstack/strategy_modules/entry/intraday_momentum_priority.py,uses_local_ohlcv,duplicate,Same economic family as completed morning/late-day intraday momentum and Gao last-half-hour campaigns.
liquidity_risk_capacity_priority,src/propstack/strategy_modules/entry/liquidity_risk_capacity_priority.py,local_feature_exists,duplicate_composite_exhausted,Composite priority wrapper around already tested liquidity/volatility/CFTC/RRP state families.
morning_intraday_momentum,src/propstack/strategy_modules/entry/morning_intraday_momentum.py,uses_local_ohlcv,duplicate,Covered by active morning orderflow momentum and intraday momentum families.
nq_es_lead_lag,src/propstack/strategy_modules/entry/nq_es_lead_lag.py,project_cache_exists_for_nq_side,nq_side_not_es_candidate,NQ-side module; ES-side NQ lead-lag campaign exists and failed.
nq_es_relative_value_orderflow_absorption_reversion,src/propstack/strategy_modules/entry/nq_es_relative_value_orderflow_absorption_reversion.py,project_cache_exists_for_nq_side,nq_side_not_es_candidate,NQ-side module; ES-side relative-value/orderflow absorption families exist and failed.
nq_mes_crowding_orderflow_window_confirmation,src/propstack/strategy_modules/entry/nq_mes_crowding_orderflow_window_confirmation.py,project_cache_exists_for_nq_side,nq_side_not_es_candidate,"NQ-specific MES crowding confirmation module, not an ES candidate under this request."
nq_pivot_mes_orderflow_confirmation,src/propstack/strategy_modules/entry/nq_pivot_mes_orderflow_confirmation.py,project_cache_exists_for_nq_side,nq_side_not_es_candidate,"NQ-specific pivot/MES confirmation module, not an ES candidate under this request."
nq_tech_relative_orderflow_confirmation,src/propstack/strategy_modules/entry/nq_tech_relative_orderflow_confirmation.py,nq_feature_exists,nq_side_not_es_candidate,"NQ-specific tech-relative module using NQ feature file, not an ES candidate under this request."
nq_tech_relative_strength,src/propstack/strategy_modules/entry/nq_tech_relative_strength.py,nq_feature_exists,nq_side_not_es_candidate,"NQ-specific tech-relative strength module, not an ES candidate under this request."
opening_range_breakout,src/propstack/strategy_modules/entry/opening_range_breakout.py,uses_local_ohlcv,duplicate,Opening-range breakout edge family already covered by active OR breakout/orderflow/trend/retest/failed-breakout campaigns and prior inventory gate.
opening_range_filtered_breakout,src/propstack/strategy_modules/entry/opening_range_filtered_breakout.py,uses_local_ohlcv,duplicate,Filtered ORB wrapper covered by active OR breakout/orderflow/trend/retest/failed-breakout families.
opening_range_inverse_breakout,src/propstack/strategy_modules/entry/opening_range_inverse_breakout.py,uses_local_ohlcv,duplicate,Inverse ORB/fade family covered by active failed-breakout/opening-range fade/reclaim campaigns.
orderflow_recent_pocket_combo,src/propstack/strategy_modules/entry/orderflow_recent_pocket_combo.py,requires_existing_boolean_columns,duplicate_stale_wrapper,Precomputed recent-pocket orderflow wrapper overlapping signed-flow and time-slot orderflow pressure families.
quote_liquidity_sweep_reversion,src/propstack/strategy_modules/entry/quote_liquidity_sweep_reversion.py,required_tbbo_fields_absent,data_gated,Requires TBBO quote/refill/spread/aggressive-imbalance fields absent from current project caches.
rth_gap_fade,src/propstack/strategy_modules/entry/rth_gap_fade.py,uses_local_ohlcv,duplicate,"Covered by opening gap, overnight/intraday reversal, and gap orderflow absorption/continuation campaigns."
spx_0dte_orderflow_confirmation,src/propstack/strategy_modules/entry/spx_0dte_orderflow_confirmation.py,local_event_calendar_and_orderflow_available,duplicate_or_post_result_confirmation,Orderflow-confirmed wrapper around already failed SPX 0DTE pressure/orderflow families; not a distinct new edge.
trade_orderflow_multi_pressure,src/propstack/strategy_modules/entry/trade_orderflow_multi_pressure.py,uses_local_orderflow,duplicate_wrapper,"Multi-slot wrapper around bar-level trade orderflow pressure covered by signed-flow persistence, impulse/reversal, and low-toxicity/state-rank campaigns."
trade_orderflow_state_rank,src/propstack/strategy_modules/entry/trade_orderflow_state_rank.py,uses_local_orderflow,duplicate,Covered at edge level by low-toxicity same-clock orderflow state and other orderflow state-rank campaigns.
volatility_filtered_intraday_momentum_priority,src/propstack/strategy_modules/entry/volatility_filtered_intraday_momentum_priority.py,nq_feature_default_exists,duplicate_or_nq_default,Volatility-filtered intraday momentum wrapper; default feature path is NQ-specific and ES volatility/intraday momentum families already failed.
