campaign_id,variant_id,test_run_id,symbol,dataset_id,timeframe,data_source,passed,halted,failed_stage,stage_count,research_policy_version,research_policy_hash,engine_contract_version,config_hash,source_config_hash,input_data_hash,output_dir,summary_path,source_config_path,updated_at
es_amihud_illiquidity_price_impact,,es_amihud_illiquidity_price_impact,,,,,False,True,,0,,,,,,,backtest-campaigns/es_amihud_illiquidity_price_impact,backtest-campaigns/es_amihud_illiquidity_price_impact/campaign_test_summary.json,,2026-06-17T04:22:11
es_amihud_illiquidity_price_impact,high_1d_illiq_premium_long_1000,rescue1,ES,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,1m,parquet,False,True,limited_core_grid_test,8,,,,12951ff005bf2e74ef3df1108ec2c772683fefe6e81bba88040df54236bada66,,,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_premium_long_1000/ES/rescue1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_premium_long_1000/ES/rescue1/campaign_test_summary.json,campaigns/es_amihud_illiquidity_price_impact/rescue_attempts/parameter_space_rescue_1/high_1d_illiq_premium_long_1000/config.yaml,2026-06-21T17:38:05
es_amihud_illiquidity_price_impact,high_1d_illiq_premium_long_1000,run1,ES,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,1m,parquet,False,True,limited_core_grid_test,8,,,,6e968b4de823c3acc073a7fa933867e26b6895a1b937463d3645dfb26cae4e0d,,,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_premium_long_1000/ES/run1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_premium_long_1000/ES/run1/campaign_test_summary.json,campaigns/es_amihud_illiquidity_price_impact/variants/high_1d_illiq_premium_long_1000/config.yaml,2026-06-21T17:38:05
es_amihud_illiquidity_price_impact,high_1d_illiq_stress_short_1030,rescue1,ES,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,1m,parquet,False,True,limited_core_grid_test,8,,,,97a09cc2cfc9b6b39a3525d191c8728cdb28b456eb4f8419b4fd26235eaef1c6,,,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_stress_short_1030/ES/rescue1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_stress_short_1030/ES/rescue1/campaign_test_summary.json,campaigns/es_amihud_illiquidity_price_impact/rescue_attempts/parameter_space_rescue_1/high_1d_illiq_stress_short_1030/config.yaml,2026-06-21T17:38:05
es_amihud_illiquidity_price_impact,high_1d_illiq_stress_short_1030,run1,ES,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,1m,parquet,False,True,limited_core_grid_test,8,,,,4ef54094c4ef47b8b54e26c1a928bd16d277b05aad3e0998e72962d684c170c9,,,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_stress_short_1030/ES/run1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_stress_short_1030/ES/run1/campaign_test_summary.json,campaigns/es_amihud_illiquidity_price_impact/variants/high_1d_illiq_stress_short_1030/config.yaml,2026-06-21T17:38:05
es_amihud_illiquidity_price_impact,high_1d_illiq_stress_short_1030,stop_widen_rescue1,ES,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,1m,parquet,False,True,limited_core_grid_test,8,,,,957b08afa9eb99ebb6998a128a2feb2d51364bcb57aa5f337beab8e1c594ea62,d44114d4856452975b5e872a0c065ab2a487c85c6cfc74acc7c554ec7630967b,,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_stress_short_1030/ES/stop_widen_rescue1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_stress_short_1030/ES/stop_widen_rescue1/campaign_test_summary.json,campaigns/es_amihud_illiquidity_price_impact/rescue_attempts/stop_distance_rescue_1/high_1d_illiq_stress_short_1030/config.yaml,2026-06-19T08:40:08
es_amihud_illiquidity_price_impact,high_20d_illiq_premium_long_1200,rescue1,ES,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,1m,parquet,False,True,limited_core_grid_test,8,,,,f608a7287cded49f08de7125f313c71c11ac46f3dabb4062d8c8a80a6059b8a3,,,backtest-campaigns/es_amihud_illiquidity_price_impact/high_20d_illiq_premium_long_1200/ES/rescue1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_20d_illiq_premium_long_1200/ES/rescue1/campaign_test_summary.json,campaigns/es_amihud_illiquidity_price_impact/rescue_attempts/parameter_space_rescue_1/high_20d_illiq_premium_long_1200/config.yaml,2026-06-21T17:38:05
es_amihud_illiquidity_price_impact,high_20d_illiq_premium_long_1200,run1,ES,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,1m,parquet,False,True,limited_core_grid_test,8,,,,6b2c2ea1fb759b8c500b8677d6e6d40132707f50fe754d73ebf3e74ce9940d4d,,,backtest-campaigns/es_amihud_illiquidity_price_impact/high_20d_illiq_premium_long_1200/ES/run1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_20d_illiq_premium_long_1200/ES/run1/campaign_test_summary.json,campaigns/es_amihud_illiquidity_price_impact/variants/high_20d_illiq_premium_long_1200/config.yaml,2026-06-21T17:38:05
es_amihud_illiquidity_price_impact,high_5d_illiq_premium_long_1130,rescue1,ES,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,1m,parquet,False,True,limited_core_grid_test,8,,,,102e286e0343b9572716daa03f9732c5bb7833c0a28510891fcfe6e84c2d0379,,,backtest-campaigns/es_amihud_illiquidity_price_impact/high_5d_illiq_premium_long_1130/ES/rescue1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_5d_illiq_premium_long_1130/ES/rescue1/campaign_test_summary.json,campaigns/es_amihud_illiquidity_price_impact/rescue_attempts/parameter_space_rescue_1/high_5d_illiq_premium_long_1130/config.yaml,2026-06-21T17:38:05
es_amihud_illiquidity_price_impact,high_5d_illiq_premium_long_1130,run1,ES,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,1m,parquet,False,True,limited_core_grid_test,8,,,,690b7f512eb9c197fd1ba8c6fc7c0839296afd04e91c0baad606b2433071a809,,,backtest-campaigns/es_amihud_illiquidity_price_impact/high_5d_illiq_premium_long_1130/ES/run1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_5d_illiq_premium_long_1130/ES/run1/campaign_test_summary.json,campaigns/es_amihud_illiquidity_price_impact/variants/high_5d_illiq_premium_long_1130/config.yaml,2026-06-21T17:38:05
