variant_id,entry_combo,signals_full,signals_per_year_full,signals_latest_252_sessions,passes_full_50_per_year,passes_latest_252_count_50
afternoon_high_vr_signed_continuation_1530,"entry.params.vr_threshold=0.95,entry.params.min_orderflow_imbalance=0.015",4827,312.65503635396345,306,True,True
afternoon_high_vr_signed_continuation_1530,"entry.params.vr_threshold=0.95,entry.params.min_orderflow_imbalance=0.035",4323,280.0098865046994,246,True,True
afternoon_high_vr_signed_continuation_1530,"entry.params.vr_threshold=0.95,entry.params.min_orderflow_imbalance=0.05",3737,242.05342259265825,179,True,True
afternoon_high_vr_signed_continuation_1530,"entry.params.vr_threshold=1.05,entry.params.min_orderflow_imbalance=0.015",3989,258.3759975172903,248,True,True
afternoon_high_vr_signed_continuation_1530,"entry.params.vr_threshold=1.05,entry.params.min_orderflow_imbalance=0.035",3502,226.83197375421173,196,True,True
afternoon_high_vr_signed_continuation_1530,"entry.params.vr_threshold=1.05,entry.params.min_orderflow_imbalance=0.05",2998,194.1868239049477,144,True,True
afternoon_high_vr_signed_continuation_1530,"entry.params.vr_threshold=1.15,entry.params.min_orderflow_imbalance=0.015",3286,212.8411952473843,210,True,True
afternoon_high_vr_signed_continuation_1530,"entry.params.vr_threshold=1.15,entry.params.min_orderflow_imbalance=0.035",2822,182.786930306792,162,True,True
afternoon_high_vr_signed_continuation_1530,"entry.params.vr_threshold=1.15,entry.params.min_orderflow_imbalance=0.05",2362,152.99175385706684,121,True,True
midday_high_vr_large10_continuation_1400,"entry.params.vr_threshold=1.0,entry.params.min_orderflow_imbalance=0.03",5148,333.44688774605424,351,True,True
midday_high_vr_large10_continuation_1400,"entry.params.vr_threshold=1.0,entry.params.min_orderflow_imbalance=0.06",5048,326.96967547437487,344,True,True
midday_high_vr_large10_continuation_1400,"entry.params.vr_threshold=1.0,entry.params.min_orderflow_imbalance=0.1",4910,318.03112253945733,338,True,True
midday_high_vr_large10_continuation_1400,"entry.params.vr_threshold=1.1,entry.params.min_orderflow_imbalance=0.03",4061,263.03959035289944,289,True,True
midday_high_vr_large10_continuation_1400,"entry.params.vr_threshold=1.1,entry.params.min_orderflow_imbalance=0.06",3950,255.84988473133532,282,True,True
midday_high_vr_large10_continuation_1400,"entry.params.vr_threshold=1.1,entry.params.min_orderflow_imbalance=0.1",3813,246.9761039191346,272,True,True
midday_high_vr_large10_continuation_1400,"entry.params.vr_threshold=1.2,entry.params.min_orderflow_imbalance=0.03",2952,191.20730625997516,217,True,True
midday_high_vr_large10_continuation_1400,"entry.params.vr_threshold=1.2,entry.params.min_orderflow_imbalance=0.06",2845,184.27668912927822,210,True,True
midday_high_vr_large10_continuation_1400,"entry.params.vr_threshold=1.2,entry.params.min_orderflow_imbalance=0.1",2729,176.76312289413016,200,True,True
midday_low_vr_large10_reversion_1430,"entry.params.vr_threshold=0.8,entry.params.min_orderflow_imbalance=0.03",4586,297.04495477921614,325,True,True
