campaign_id,variant_id,confirm_window_minutes,confirm_mode,min_abs_overnight_bps,confirm_threshold_bps,signals,signals_per_year,start_date,end_date
nq_overnight_intraday_reversal,first5_confirm_reversal_1000,5,confirm_reversal,10,0,1740,112.7035,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first5_confirm_reversal_1000,5,confirm_reversal,10,5,1348,87.3128,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first5_confirm_reversal_1000,5,confirm_reversal,25,0,1294,83.8151,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first5_confirm_reversal_1000,5,confirm_reversal,25,5,1024,66.3267,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first5_confirm_reversal_1000,5,confirm_reversal,30,0,1180,76.4311,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first5_confirm_reversal_1000,5,confirm_reversal,30,5,937,60.6915,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first15_confirm_reversal_1000,15,confirm_reversal,10,0,1709,110.6956,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first15_confirm_reversal_1000,15,confirm_reversal,10,5,1467,95.0207,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first15_confirm_reversal_1000,15,confirm_reversal,25,0,1278,82.7788,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first15_confirm_reversal_1000,15,confirm_reversal,25,5,1113,72.0914,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first15_confirm_reversal_1000,15,confirm_reversal,30,0,1151,74.5527,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first15_confirm_reversal_1000,15,confirm_reversal,30,5,1003,64.9664,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first30_confirm_reversal_1000,30,confirm_reversal,10,0,1623,105.1252,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first30_confirm_reversal_1000,30,confirm_reversal,10,5,1444,93.5309,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first30_confirm_reversal_1000,30,confirm_reversal,25,0,1203,77.9209,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first30_confirm_reversal_1000,30,confirm_reversal,25,5,1079,69.8891,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first30_confirm_reversal_1000,30,confirm_reversal,30,0,1082,70.0834,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first30_confirm_reversal_1000,30,confirm_reversal,30,5,967,62.6346,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first30_noncontinuation_1000,30,confirm_noncontinuation,10,0,1623,105.1252,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first30_noncontinuation_1000,30,confirm_noncontinuation,10,5,1784,115.5535,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first30_noncontinuation_1000,30,confirm_noncontinuation,25,0,1203,77.9209,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first30_noncontinuation_1000,30,confirm_noncontinuation,25,5,1310,84.8515,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first30_noncontinuation_1000,30,confirm_noncontinuation,30,0,1082,70.0834,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,first30_noncontinuation_1000,30,confirm_noncontinuation,30,5,1182,76.5606,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,overnight_only_two_sided_1000,5,none,10,0,3178,205.8458,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,overnight_only_two_sided_1000,5,none,10,5,3178,205.8458,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,overnight_only_two_sided_1000,5,none,25,0,2368,153.3804,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,overnight_only_two_sided_1000,5,none,25,5,2368,153.3804,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,overnight_only_two_sided_1000,5,none,30,0,2149,139.1953,2011-01-03,2026-06-12
nq_overnight_intraday_reversal,overnight_only_two_sided_1000,5,none,30,5,2149,139.1953,2011-01-03,2026-06-12
