campaign_id,variant_id,window,sessions,years,pressure_rank_threshold,max_abs_return_ticks,signals,signal_sessions,signals_per_year,long_signals,short_signals,passes_50_signals_per_year
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,full_history,3813,15.130952,0.8,1,34,34,2.24705,20,14,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,full_history,3813,15.130952,0.8,2,52,52,3.436664,28,24,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,full_history,3813,15.130952,0.8,4,86,86,5.683714,47,39,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,full_history,3813,15.130952,0.85,1,24,24,1.586153,15,9,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,full_history,3813,15.130952,0.85,2,39,39,2.577498,22,17,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,full_history,3813,15.130952,0.85,4,66,66,4.36192,38,28,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,full_history,3813,15.130952,0.9,1,15,15,0.991345,11,4,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,full_history,3813,15.130952,0.9,2,24,24,1.586153,14,10,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,full_history,3813,15.130952,0.9,4,37,37,2.445319,22,15,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,limited_core,371,1.472222,0.8,1,8,8,5.433962,6,2,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,limited_core,371,1.472222,0.8,2,11,11,7.471698,7,4,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,limited_core,371,1.472222,0.8,4,15,15,10.188679,10,5,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,limited_core,371,1.472222,0.85,1,8,8,5.433962,6,2,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,limited_core,371,1.472222,0.85,2,10,10,6.792453,6,4,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,limited_core,371,1.472222,0.85,4,14,14,9.509434,9,5,False
nq_orderflow_absorption_exhaustion_reversal,afternoon_60m_absorption_fade_1400,limited_core,371,1.472222,0.9,1,6,6,4.075472,5,1,False
