campaign_id,variant_id,run_id,rescue_attempt,trade_log_csv
es_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,rescue1,parameter_space_rescue_1,backtest-campaigns/es_opening_drive_mes_crowding_reversal/od15_notional_failed_extension_reversal_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,run1,none,backtest-campaigns/es_opening_drive_mes_crowding_reversal/od15_notional_failed_extension_reversal_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_opening_drive_mes_crowding_reversal,od15_trade_failed_extension_reversal_1130,rescue1,parameter_space_rescue_1,backtest-campaigns/es_opening_drive_mes_crowding_reversal/od15_trade_failed_extension_reversal_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_opening_drive_mes_crowding_reversal,od15_trade_failed_extension_reversal_1130,run1,none,backtest-campaigns/es_opening_drive_mes_crowding_reversal/od15_trade_failed_extension_reversal_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,rescue1,parameter_space_rescue_1,backtest-campaigns/es_opening_drive_mes_crowding_reversal/od30_notional_failed_extension_reversal_1300/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,run1,none,backtest-campaigns/es_opening_drive_mes_crowding_reversal/od30_notional_failed_extension_reversal_1300/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,rescue1,parameter_space_rescue_1,backtest-campaigns/es_opening_drive_mes_crowding_reversal/od30_trade_failed_extension_reversal_1300/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,run1,none,backtest-campaigns/es_opening_drive_mes_crowding_reversal/od30_trade_failed_extension_reversal_1300/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,rescue1,parameter_space_rescue_1,backtest-campaigns/es_opening_drive_mes_crowding_reversal/od60_notional_failed_extension_reversal_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,run1,none,backtest-campaigns/es_opening_drive_mes_crowding_reversal/od60_notional_failed_extension_reversal_1530/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
