campaign_id,variant_id,run_id,stage,path,status
es_mes_micro_flow_divergence_reversion,afternoon_mes_large20_buy_pressure_short,mes_data_refresh1,wfa_equity_curve,,not_reached
es_mes_micro_flow_divergence_reversion,afternoon_mes_large20_buy_pressure_short,mes_data_refresh_rescue1,wfa_equity_curve,,not_reached
es_mes_micro_flow_divergence_reversion,afternoon_mes_large20_sell_pressure_long,mes_data_refresh1,wfa_equity_curve,,not_reached
es_mes_micro_flow_divergence_reversion,afternoon_mes_large20_sell_pressure_long,mes_data_refresh_rescue1,wfa_equity_curve,,not_reached
es_mes_micro_flow_divergence_reversion,midday_mes_price_richness_fade,mes_data_refresh1,wfa_equity_curve,,not_reached
es_mes_micro_flow_divergence_reversion,midday_mes_price_richness_fade,mes_data_refresh_rescue1,wfa_equity_curve,,not_reached
es_mes_micro_flow_divergence_reversion,morning_mes_buy_pressure_reversion_short,mes_data_refresh1,wfa_equity_curve,,not_reached
es_mes_micro_flow_divergence_reversion,morning_mes_buy_pressure_reversion_short,mes_data_refresh_rescue1,wfa_equity_curve,,not_reached
es_mes_micro_flow_divergence_reversion,morning_mes_sell_pressure_reversion_long,mes_data_refresh1,wfa_equity_curve,,not_reached
es_mes_micro_flow_divergence_reversion,morning_mes_sell_pressure_reversion_long,mes_data_refresh_rescue1,wfa_equity_curve,,not_reached
