trade_id,wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_train_objective,wfa_selected_params,source_trade_id,strategy_name,session_date,direction,level_type,setup_mode,feature_method,share_mode,lookback_minutes,trend_lookback_minutes,rank_window,configured_direction,share_rank,share_value,es_pullback_return_ticks,trend_return_ticks,trend_start_timestamp,trend_end_timestamp,share_rank_min,min_abs_return_ticks,min_trend_return_ticks,crowding_signal_timestamp,crowding_intended_entry_timestamp,signal_close_timestamp,intended_entry_timestamp,signal_stop_pct,signal_target_r_multiple,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,volatility_feature_csv,volatility_feature_session_date,volatility_gate_column,volatility_gate_value,volatility_gate_max,volatility_filter_result,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.1648241130050894,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 3, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.5}",1,volatility_filtered_trend_mes_participation_crowding,2023-09-11,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6309523809523809,0.3779191144341409,36.0,-31.0,2023-09-11 09:45:00-04:00,2023-09-11 10:15:00-04:00,0.55,3.0,4.0,2023-09-11 10:30:00-04:00,2023-09-11 10:30:00-04:00,2023-09-11 10:30:00-04:00,2023-09-11 10:30:00-04:00,0.003,2.5,12:00:00,4483.5,2023-09-11 10:29:00-04:00,4484.0,4482.75,2023-09-11 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2023-09-11,range10_rank_252,0.1111111111111111,0.95,passed,2023-09-11 10:30:00-04:00,4483.5,4497.0,4449.75,13.5,1,13.5,0.5,fixed_contracts,2023-09-11 12:00:00-04:00,4474.75,eod_flatten,437.5,432.5,0.6481481481481481,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.1648241130050894,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 3, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.5}",2,volatility_filtered_trend_mes_participation_crowding,2023-10-18,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5833333333333334,0.3434276633336952,-15.0,9.0,2023-10-18 09:45:00-04:00,2023-10-18 10:15:00-04:00,0.55,3.0,4.0,2023-10-18 10:30:00-04:00,2023-10-18 10:30:00-04:00,2023-10-18 10:30:00-04:00,2023-10-18 10:30:00-04:00,0.003,2.5,12:00:00,4376.0,2023-10-18 10:29:00-04:00,4382.25,4375.5,2023-10-18 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2023-10-18,range10_rank_252,0.5714285714285714,0.95,passed,2023-10-18 10:30:00-04:00,4376.25,4363.0,4409.375,13.25,1,2.0,13.5,fixed_contracts,2023-10-18 10:54:00-04:00,4362.75,stop,-675.0,-680.0,-1.0188679245283019,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.1648241130050894,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 3, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.5}",3,volatility_filtered_trend_mes_participation_crowding,2023-11-02,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5833333333333334,0.3359947879846411,48.0,-5.0,2023-11-02 09:45:00-04:00,2023-11-02 10:15:00-04:00,0.55,3.0,4.0,2023-11-02 10:30:00-04:00,2023-11-02 10:30:00-04:00,2023-11-02 10:30:00-04:00,2023-11-02 10:30:00-04:00,0.003,2.5,12:00:00,4310.25,2023-11-02 10:29:00-04:00,4312.5,4310.0,2023-11-02 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2023-11-02,range10_rank_252,0.5555555555555556,0.95,passed,2023-11-02 10:30:00-04:00,4310.25,4323.25,4277.75,13.0,1,0.75,11.75,fixed_contracts,2023-11-02 12:00:00-04:00,4316.25,eod_flatten,-300.0,-305.0,-0.46153846153846156,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.1648241130050894,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 3, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.5}",4,volatility_filtered_trend_mes_participation_crowding,2023-11-20,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6349206349206349,0.3409525586602603,-3.0,15.0,2023-11-20 09:45:00-05:00,2023-11-20 10:15:00-05:00,0.55,3.0,4.0,2023-11-20 10:30:00-05:00,2023-11-20 10:30:00-05:00,2023-11-20 10:30:00-05:00,2023-11-20 10:30:00-05:00,0.003,2.5,12:00:00,4539.0,2023-11-20 10:29:00-05:00,4539.5,4538.25,2023-11-20 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2023-11-20,range10_rank_252,0.12698412698412698,0.95,passed,2023-11-20 10:30:00-05:00,4539.25,4525.5,4573.625,13.75,1,9.5,2.25,fixed_contracts,2023-11-20 12:00:00-05:00,4547.0,eod_flatten,387.5,382.5,0.5636363636363636,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.1648241130050894,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 3, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.5}",5,volatility_filtered_trend_mes_participation_crowding,2023-11-27,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6865079365079365,0.3504653130287648,-13.0,24.0,2023-11-27 09:45:00-05:00,2023-11-27 10:15:00-05:00,0.55,3.0,4.0,2023-11-27 10:30:00-05:00,2023-11-27 10:30:00-05:00,2023-11-27 10:30:00-05:00,2023-11-27 10:30:00-05:00,0.003,2.5,12:00:00,4561.25,2023-11-27 10:29:00-05:00,4561.75,4560.75,2023-11-27 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2023-11-27,range10_rank_252,0.12698412698412698,0.95,passed,2023-11-27 10:30:00-05:00,4561.25,4547.5,4595.625,13.75,1,8.0,4.25,fixed_contracts,2023-11-27 12:00:00-05:00,4565.0,eod_flatten,187.5,182.5,0.2727272727272727,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.1648241130050894,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 3, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.5}",6,volatility_filtered_trend_mes_participation_crowding,2023-12-06,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6984126984126984,0.3451612229118341,-44.0,12.0,2023-12-06 09:45:00-05:00,2023-12-06 10:15:00-05:00,0.55,3.0,4.0,2023-12-06 10:30:00-05:00,2023-12-06 10:30:00-05:00,2023-12-06 10:30:00-05:00,2023-12-06 10:30:00-05:00,0.003,2.5,12:00:00,4580.25,2023-12-06 10:29:00-05:00,4581.75,4579.25,2023-12-06 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2023-12-06,range10_rank_252,0.04365079365079365,0.95,passed,2023-12-06 10:30:00-05:00,4580.5,4566.75,4614.875,13.75,1,4.0,11.75,fixed_contracts,2023-12-06 12:00:00-05:00,4576.25,eod_flatten,-212.5,-217.5,-0.3090909090909091,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.1648241130050894,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 3, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.5}",7,volatility_filtered_trend_mes_participation_crowding,2023-12-27,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.8095238095238095,0.3583868741039664,14.0,-22.0,2023-12-27 09:45:00-05:00,2023-12-27 10:15:00-05:00,0.55,3.0,4.0,2023-12-27 10:30:00-05:00,2023-12-27 10:30:00-05:00,2023-12-27 10:30:00-05:00,2023-12-27 10:30:00-05:00,0.003,2.5,12:00:00,4825.0,2023-12-27 10:29:00-05:00,4825.5,4824.5,2023-12-27 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2023-12-27,range10_rank_252,0.24603174603174602,0.95,passed,2023-12-27 10:30:00-05:00,4824.75,4839.25,4788.5,14.5,1,6.75,2.25,fixed_contracts,2023-12-27 12:00:00-05:00,4825.5,eod_flatten,-37.5,-42.5,-0.05172413793103448,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.1648241130050894,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 3, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.5}",8,volatility_filtered_trend_mes_participation_crowding,2024-01-17,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.7380952380952381,0.3364304070801843,-11.0,34.0,2024-01-17 09:45:00-05:00,2024-01-17 10:15:00-05:00,0.55,3.0,4.0,2024-01-17 10:30:00-05:00,2024-01-17 10:30:00-05:00,2024-01-17 10:30:00-05:00,2024-01-17 10:30:00-05:00,0.003,2.5,12:00:00,4766.25,2024-01-17 10:29:00-05:00,4767.5,4765.25,2024-01-17 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2024-01-17,range10_rank_252,0.2976190476190476,0.95,passed,2024-01-17 10:30:00-05:00,4766.25,4751.75,4802.5,14.5,1,9.5,3.5,fixed_contracts,2024-01-17 12:00:00-05:00,4769.5,eod_flatten,162.5,157.5,0.22413793103448276,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.1648241130050894,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 3, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.5}",9,volatility_filtered_trend_mes_participation_crowding,2024-01-23,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6031746031746031,0.3218884120171674,-11.0,11.0,2024-01-23 09:45:00-05:00,2024-01-23 10:15:00-05:00,0.55,3.0,4.0,2024-01-23 10:30:00-05:00,2024-01-23 10:30:00-05:00,2024-01-23 10:30:00-05:00,2024-01-23 10:30:00-05:00,0.003,2.5,12:00:00,4884.0,2024-01-23 10:29:00-05:00,4884.5,4883.25,2024-01-23 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2024-01-23,range10_rank_252,0.38095238095238093,0.95,passed,2024-01-23 10:30:00-05:00,4884.25,4869.5,4921.125,14.75,1,0.0,10.0,fixed_contracts,2024-01-23 12:00:00-05:00,4880.0,eod_flatten,-212.5,-217.5,-0.288135593220339,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.1648241130050894,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 3, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.5}",10,volatility_filtered_trend_mes_participation_crowding,2024-01-26,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5873015873015873,0.3195807178987141,21.0,-11.0,2024-01-26 09:45:00-05:00,2024-01-26 10:15:00-05:00,0.55,3.0,4.0,2024-01-26 10:30:00-05:00,2024-01-26 10:30:00-05:00,2024-01-26 10:30:00-05:00,2024-01-26 10:30:00-05:00,0.003,2.5,12:00:00,4924.0,2024-01-26 10:29:00-05:00,4924.75,4923.25,2024-01-26 10:30:00-05:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2024-01-26,range10_rank_252,0.23015873015873015,0.95,passed,2024-01-26 10:30:00-05:00,4923.75,4938.75,4886.25,15.0,1,0.75,10.5,fixed_contracts,2024-01-26 12:00:00-05:00,4930.5,eod_flatten,-337.5,-342.5,-0.45,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
